Fundamental Frequency,RMS Energy,Spectral Centroid,Spectral Bandwidth,Spectral Flatness,Zero-Crossing Rate,Formant 1,Harmonics-to-Noise Ratio,Entropy of the Audio Signal,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,Chroma1,Chroma2,Chroma3,Chroma4,Chroma5,Chroma6,Chroma7,Chroma8,Chroma9,Chroma10,Chroma11,Chroma12,Screaming
292.4660001,0.105962805,2868.938639,3519.226972,0.002267787,0.051700427,1211.904616,-87.63251783,4.810980797,-310.4840088,80.72892761,-54.11443329,-26.06790161,-22.29528427,-13.16718006,-5.989136219,4.533826351,1.54945302,-7.580948353,2.662767649,6.984205723,-6.162744522,0.329463661,0.282806933,0.269622922,0.321020603,0.360771269,0.309742481,0.320468962,0.287894696,0.353126585,0.400028437,0.436736196,0.401487261,1
727.6395688,0.380999684,3199.54505,2955.88692,0.001873105,0.084388626,1566.362433,-29.66421574,4.6696558,-198.1964569,59.63114929,-74.23284912,-11.34257317,-24.45192146,21.20818901,11.96412563,15.18842697,-8.255558014,-11.09185791,-8.658124924,18.56035423,16.83992958,0.208723381,0.1411293,0.134572119,0.139447019,0.131443053,0.165777221,0.441076338,0.710532546,0.171436012,0.075272508,0.081125073,0.122698031,1
327.1736694,0.19287546,1867.629265,1387.579914,8.03E-06,0.053360161,771.0171691,13.12429057,3.957073927,-246.9633789,120.3941498,-73.99711609,-14.18817902,18.48329544,-30.51368904,-4.516747475,17.99184608,-0.350481749,12.26721764,17.92138481,5.495096684,13.10640335,0.123132944,0.245318666,0.168320894,0.109846748,0.127284199,0.313735247,0.626037061,0.18872048,0.052228138,0.069198824,0.088664174,0.096552871,1
1154.317418,0.551573396,4009.312902,3562.28472,0.000628105,0.111405997,2156.945106,-19.32412555,4.245474339,-213.5506439,24.29826736,-33.92071533,11.26090336,39.56112671,28.74765205,-0.804146588,-16.84691048,1.241771817,20.14374542,12.82566643,-14.59403515,-1.758945823,0.294687063,0.577755392,0.650166094,0.154729813,0.093636684,0.081225544,0.066621378,0.063318625,0.058840152,0.069946706,0.066521689,0.102594696,1
139.6816595,0.085703366,2752.923593,2547.959552,0.003893079,0.079307451,1001.405711,-38.14449015,5.322946072,-235.0405579,127.8325882,-113.8502731,-13.19719315,-59.97056198,-15.97411633,-22.04238892,-6.807658672,-12.76555061,-10.87090492,-8.518253326,4.891827583,-0.875485778,0.357863843,0.464903593,0.439355463,0.480740994,0.551380634,0.491421402,0.471825153,0.389188945,0.337398201,0.348941386,0.293844074,0.267486185,1
139.6816595,0.085703366,2752.923593,2547.959552,0.003893079,0.079307451,1001.405711,-38.14449015,5.322946072,-235.0405579,127.8325882,-113.8502731,-13.19719315,-59.97056198,-15.97411633,-22.04238892,-6.807658672,-12.76555061,-10.87090492,-8.518253326,4.891827583,-0.875485778,0.357863843,0.464903593,0.439355463,0.480740994,0.551380634,0.491421402,0.471825153,0.389188945,0.337398201,0.348941386,0.293844074,0.267486185,1
257.6360173,0.01783682,1504.606053,1756.353754,0.000655242,0.037534274,747.6463385,6.046418186,4.222204685,-469.5330505,202.0690765,-45.59659576,-59.97027969,-0.634727478,-23.05688477,-31.5686245,-1.391602993,-3.312626839,-8.456692696,-4.789444923,5.717120171,4.978255272,0.090964049,0.212192267,0.505455017,0.522275567,0.305472672,0.28423965,0.209846646,0.113115989,0.081864119,0.07353197,0.070414566,0.071216144,1
1257.569852,0.246030256,3339.475051,2887.542167,0.002774016,0.087669517,2045.946997,-60.1076592,4.267724037,-326.1940308,14.36008644,-86.06180573,13.5114336,29.85458183,31.74100113,-8.548237801,16.51098442,20.3299675,7.150897503,0.693625033,-2.71536994,13.59758759,0.197216183,0.264180601,0.297553897,0.298767895,0.534540117,0.590252459,0.386776179,0.199936956,0.164555818,0.196863711,0.259377778,0.231941387,1
1319.275573,0.103365622,4858.040613,3940.657377,0.012803284,0.133927337,1549.168339,-62.50152729,4.966853619,-354.095459,-0.558605492,-102.3031616,-0.431595147,23.57648277,24.97774124,-25.69672203,20.46092796,17.11419868,-16.77629089,-18.9951973,1.916441917,13.86282253,0.059954729,0.050634854,0.070334345,0.181019381,0.371736974,0.57370609,0.59841615,0.400623888,0.153262287,0.071384996,0.069701232,0.06784074,1
1010.617415,0.28063941,2545.381117,2276.463552,0.000296386,0.069588902,2108.242633,-46.03783371,4.061897278,-309.3351746,45.09184647,-104.2744293,7.039013863,46.53388214,49.30997086,10.96290874,-8.85206604,-9.000577927,28.15901756,21.23991776,-4.720658779,-5.484846115,0.347861111,0.503560126,0.745251656,0.502377927,0.258897901,0.229397506,0.226592839,0.248540357,0.323761672,0.27625522,0.322633296,0.299005508,1
252.9709855,0.046929896,2951.009446,3292.637654,0.000649825,0.06659941,1079.498954,-166.8514924,5.521248817,-221.8023834,153.7757721,-40.48577118,34.94552612,-47.73604202,20.81406021,-10.58498669,10.05858231,6.473393917,-4.722836018,7.96660471,-13.42975807,10.6185627,0.718842924,0.594543755,0.435858876,0.36131838,0.302823246,0.273801029,0.282705635,0.315947175,0.318624437,0.351485133,0.467523098,0.635436356,0
76.66128146,0.034018792,2316.899672,1809.38526,6.61E-05,0.090324595,888.1793789,-128.9722275,5.312082291,-322.7679749,212.7763977,-89.75780487,21.54595375,46.28852081,-40.44435501,15.14502239,22.26419258,-24.43864441,13.03238392,12.23648548,-14.04800606,14.46710205,0.656872809,0.706116676,0.686573625,0.665485501,0.653305769,0.633927763,0.604558229,0.594140947,0.587096751,0.575870812,0.572543025,0.590440154,0
